Entity-cleaned,Entity,Compensation,Expenses,entity_type,fips,City,County,State
Lincoln County,Lincoln County,"$1,000.00 ",$0.00 ,COUNTIES,53043,,Lincoln County,WA
Pend Oreille County,Pend Oreille County,"$1,000.00 ",$0.00 ,COUNTIES,53051,,Pend Oreille County,WA
Pierce County,Pierce County*,"$64,602.00 ","$3,200.00 ",COUNTIES,53053,,Pierce County,WA
Snohomish County,Snohomish County,"$26,833.32 ",$0.00 ,COUNTIES,53061,,Snohomish County,WA
Spokane County,Spokane County,"$16,000.00 ",$0.00 ,COUNTIES,53063,,Spokane County,WA
Stevens County,Stevens County,"$1,200.00 ",$0.00 ,COUNTIES,53065,,Stevens County,WA
Thurston County,Thurston County,"$2,076.00 ",$0.00 ,COUNTIES,53067,,Thurston County,WA
Whatcom County,Whatcom County,"$18,347.00 ","$4,332.68 ",COUNTIES,53073,,Whatcom County,WA
Whitman County,Whitman County,"$1,200.00 ",$0.00 ,COUNTIES,53075,,Whitman County,WA
Yakima County,Yakima County,"$37,333.00 ",$461.00 ,COUNTIES,53077,,Yakima County,WA
Association Of Washington Cities,Association Of Washington Cities,"$11,543.13 ","$16,015.01 ",OTHER,,,,WA
Association Of Washington State Public Facilities Districts,Association Of Washington State Public Facilities Districts,"$8,000.00 ",$0.00 ,OTHER,,,,WA
Central Puget Sound Regional Transit Authority,Central Puget Sound Regional Transit Authority,"$24,000.00 ",$3.00 ,OTHER,,,,WA
Jefferson County Public Works,Jefferson County Public Works,"$15,200.00 ",$0.00 ,OTHER,,,,WA
Metro Parks Of Tacoma,Metro Parks Of Tacoma,"$20,000.00 ",$0.00 ,OTHER,,,,WA
Snohomish-King Water District Coalition,Snohomish-King Water District Coalition,"$9,453.00 ",$0.00 ,OTHER,,,,WA
Superior Court Judges Association,Superior Court Judges Association,"$26,200.00 ",$0.00 ,OTHER,,,,WA
Tacoma-Pierce County Health Dept,Tacoma-Pierce County Health Dept,"$14,000.00 ",$0.00 ,OTHER,,,,WA
Washington Association Of Building Officials,Washington Association Of Building Officials,"$10,000.01 ","$1,022.95 ",OTHER,,,,WA
Washington Association Of Counties,Washington Association Of Counties,"$13,095.08 ","$3,001.92 ",OTHER,,,,WA
Washington Association Of County Officials,Washington Association Of County Officials,"$6,632.40 ",$0.00 ,OTHER,,,,WA
Washington Fire Commissioners Association,Washington Fire Commissioners Association,"$24,907.04 ",$154.59 ,OTHER,,,,WA
Washington Indian Gaming Association,Washington Indian Gaming Association,"$1,017.50 ","$78,301.85 ",OTHER,,,,WA
Washington Public Ports Association,Washington Public Ports Association,"$55,882.27 ","$1,619.83 ",OTHER,,,,WA
Washington State Association Of Fire Chiefs,Washington State Association Of Fire Chiefs,"$16,933.32 ","$1,910.74 ",OTHER,,,,WA
Washington State Association Of Prosecuting Attorneys,Washington State Association Of Prosecuting Attorneys,"$10,424.16 ",$0.00 ,OTHER,,,,WA
Washington State Association Of Sheriffs & Police Chiefs,Washington State Association Of Sheriffs & Police Chiefs,"$11,423.01 ",$0.00 ,OTHER,,,,WA
Washington State Chapter Of Assoc Public Safety Communications Officials,Washington State Chapter Of Assoc Public Safety Communications Officials,"$6,400.00 ",$0.00 ,OTHER,,,,WA
Washington State Emergency Managers Association,Washington State Emergency Managers Association,"$4,000.00 ",$671.71 ,OTHER,,,,WA
Washington State Water Resources Association,Washington State Water Resources Association,"$16,333.32 ",$0.00 ,OTHER,,,,WA
Port Of Bellingham,Port Of Bellingham,"$14,233.32 ","$5,332.68 ",PORTS,,,,WA
Port Of Bremerton,Port Of Bremerton,"$7,205.00 ","$2,612.19 ",PORTS,,,,WA
Port Of Centralia,Port Of Centralia,"$16,812.50 ",$0.00 ,PORTS,,,,WA
Port Of Everett,Port Of Everett,"$15,000.00 ","$30,000.00 ",PORTS,,,,WA
Port Of Kalama,Port Of Kalama,"$9,000.00 ",$0.00 ,PORTS,,,,WA
Port Of Quincy,Port Of Quincy,"$8,000.00 ",$0.00 ,PORTS,,,,WA
Port Of Royal Slope,Port Of Royal Slope,"$3,000.00 ",$0.00 ,PORTS,,,,WA
Port Of Seattle,Port Of Seattle,"$28,700.00 ",$500.00 ,PORTS,,,,WA
Port Of Tacoma,Port Of Tacoma,"$46,424.83 ",$352.00 ,PORTS,,,,WA
Port Of Vancouver,Port Of Vancouver,"$16,666.64 ",$0.00 ,PORTS,,,,WA
Port Of Walla Walla,Port Of Walla Walla,"$14,500.00 ",$74.45 ,PORTS,,,,WA
Spokane Public Facilities District,Spokane Public Facilities District,"$12,000.00 ",$0.00 ,PUBLIC FACILITIES DISTRICTS,,,,WA
Washington State Convention Center Public Facilities District,Washington State Convention Center Public Facilities District,"$12,000.00 ",$73.45 ,PUBLIC FACILITIES DISTRICTS,,,,WA
Seattle Public Schools,Seattle Public Schools,"$14,500.00 ",$0.00 ,SCHOOL DISTRICTS,,,,WA
Spokane Public Schools,Spokane Public Schools,"$14,000.00 ",$0.00 ,SCHOOL DISTRICTS,,,,WA
Tacoma Public Schools,Tacoma Public Schools,"$20,000.00 ",$0.00 ,SCHOOL DISTRICTS,,,,WA
Valley School District,Valley School District,"$12,000.00 ",$0.00 ,SCHOOL DISTRICTS,,,,WA
Chehalis Confederated Tribes,Chehalis Confederated Tribes,"$4,500.00 ",$0.00 ,TRIBES,,,,WA
Colville Confederated Tribes,Colville Confederated Tribes,"$25,500.00 ",$0.00 ,TRIBES,,,,WA
Confederated Tribes Of The Umatilla Indian Reservation,Confederated Tribes Of The Umatilla Indian Reservation,"$13,305.00 ",$355.65 ,TRIBES,,,,WA
Jamestown S'Klallam Tribe,Jamestown S'Klallam Tribe,"$20,000.00 ",$0.00 ,TRIBES,,,,WA
Kalispel Tribe,Kalispel Tribe,"$69,000.00 ",$237.66 ,TRIBES,,,,WA
Muckleshoot Indian Tribe,Muckleshoot Indian Tribe,"$77,371.88 ",$183.50 ,TRIBES,,,,WA
Nisqually Indian Tribe,Nisqually Indian Tribe,"$29,333.32 ",$701.21 ,TRIBES,,,,WA
Nooksack Indian Tribe,Nooksack Indian Tribe,"$14,000.00 ",$0.00 ,TRIBES,,,,WA
Port Gamble S'Klallam Tribe,Port Gamble S'Klallam Tribe,"$20,000.00 ",$550.48 ,TRIBES,,,,WA
Puyallup Tribe Of Indians,Puyallup Tribe Of Indians,"$86,400.00 ",$0.00 ,TRIBES,,,,WA
Quinault Indian Nation,Quinault Indian Nation,"$25,500.00 ",$0.00 ,TRIBES,,,,WA
Samish Indian Nation,Samish Indian Nation,"$18,000.00 ",$0.00 ,TRIBES,,,,WA
Spokane Tribe Of Indians,Spokane Tribe Of Indians,"$19,500.00 ",$0.00 ,TRIBES,,,,WA
Squaxin Island Tribe,Squaxin Island Tribe,"$12,000.00 ",$298.57 ,TRIBES,,,,WA
Stillaguamish Tribe Of Indians,Stillaguamish Tribe Of Indians,"$6,000.00 ",$19.02 ,TRIBES,,,,WA
Swinomish Indian Tribal Community,Swinomish Indian Tribal Community,"$24,000.00 ",$460.24 ,TRIBES,,,,WA
Tulalip Tribes Of Washington,Tulalip Tribes Of Washington,"$23,500.00 ",$62.18 ,TRIBES,,,,WA
Benton Public Utility District,Benton Public Utility District,"$8,700.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Chelan Public Utility District,Chelan Public Utility District,"$35,650.00 ",$67.00 ,UTILITY DISTRICTS,,,,WA
Clark Public Utility District,Clark Public Utility District,"$14,340.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Grant Public Utility District,Grant Public Utility District,"$18,862.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Grays Harbor Public Utility District,Grays Harbor Public Utility District,"$1,078.00 ",$190.00 ,UTILITY DISTRICTS,,,,WA
Lewis Public Utility District,Lewis Public Utility District,"$13,500.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Okanogan Public Utility District,Okanogan Public Utility District,"$9,300.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Public Utility District #1 Of Cowlitz County,Public Utility District #1 Of Cowlitz County,"$12,000.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
Snohomish Public Utility District,Snohomish Public Utility District,"$15,000.00 ",$0.00 ,UTILITY DISTRICTS,,,,WA
